Year,County,Burrough,Region,Upstate,LowBirthWeightNewborns,NewbornPopulation
2012,Albany,NA,Capital District,TRUE,84,1150
2013,Albany,NA,Capital District,TRUE,101,1191
2012,Allegany,NA,Western New York,TRUE,15,189
2013,Allegany,NA,Western New York,TRUE,14,209
2012,Bronx,The Bronx,New York City,FALSE,1159,14408
2013,Bronx,The Bronx,New York City,FALSE,1174,14434
2012,Broome,NA,Southern Tier,TRUE,72,1021
2013,Broome,NA,Southern Tier,TRUE,70,1006
2012,Cattaraugus,NA,Western New York,TRUE,17,447
2013,Cattaraugus,NA,Western New York,TRUE,20,414
2012,Cayuga,NA,Central New York,TRUE,23,401
2013,Cayuga,NA,Central New York,TRUE,22,341
2012,Chautauqua,NA,Western New York,TRUE,37,794
2013,Chautauqua,NA,Western New York,TRUE,30,716
2012,Chemung,NA,Southern Tier,TRUE,22,529
2013,Chemung,NA,Southern Tier,TRUE,39,465
2012,Chenango,NA,Southern Tier,TRUE,21,232
2013,Chenango,NA,Southern Tier,TRUE,12,228
2012,Clinton,NA,North Country,TRUE,26,345
2013,Clinton,NA,North Country,TRUE,29,330
2012,Columbia,NA,Capital District,TRUE,17,231
2013,Columbia,NA,Capital District,TRUE,11,236
2012,Cortland,NA,Central New York,TRUE,11,268
2013,Cortland,NA,Central New York,TRUE,17,247
2012,Delaware,NA,Southern Tier,TRUE,10,180
2013,Delaware,NA,Southern Tier,TRUE,9,167
2012,Dutchess,NA,Hudson Valley,FALSE,47,822
2013,Dutchess,NA,Hudson Valley,FALSE,64,843
2012,Erie,NA,Western New York,TRUE,366,4330
2013,Erie,NA,Western New York,TRUE,376,4369
2012,Essex,NA,North Country,TRUE,6,133
2013,Essex,NA,North Country,TRUE,11,117
2012,Franklin,NA,North Country,TRUE,13,255
2013,Franklin,NA,North Country,TRUE,23,237
2012,Fulton,NA,Mohawk Valley,FALSE,15,289
2013,Fulton,NA,Mohawk Valley,FALSE,31,289
2012,Genesee,NA,Finger Lakes,TRUE,15,212
2013,Genesee,NA,Finger Lakes,TRUE,12,221
2012,Greene,NA,Capital District,TRUE,18,191
2013,Greene,NA,Capital District,TRUE,11,194
2012,Hamilton/Schuyler,NA,North Country,TRUE,4,96
2013,Hamilton/Schuyler,NA,North Country,TRUE,7,80
2012,Herkimer,NA,Mohawk Valley,FALSE,20,333
2013,Herkimer,NA,Mohawk Valley,FALSE,18,342
2012,Jefferson,NA,North Country,TRUE,38,559
2013,Jefferson,NA,North Country,TRUE,36,563
2012,Kings,Brooklyn,New York City,FALSE,1583,24679
2013,Kings,Brooklyn,New York City,FALSE,1482,23232
2012,Lewis,NA,North Country,TRUE,15,135
2013,Lewis,NA,North Country,TRUE,7,139
2012,Livingston,NA,Finger Lakes,TRUE,16,194
2013,Livingston,NA,Finger Lakes,TRUE,11,204
2012,Madison,NA,Central New York,TRUE,18,336
2013,Madison,NA,Central New York,TRUE,24,294
2012,Monroe,NA,Finger Lakes,TRUE,350,3549
2013,Monroe,NA,Finger Lakes,TRUE,318,3491
2012,Montgomery,NA,Mohawk Valley,FALSE,12,216
2013,Montgomery,NA,Mohawk Valley,FALSE,12,247
2012,Nassau,NA,Long Island,FALSE,214,3226
2013,Nassau,NA,Long Island,FALSE,289,3931
